RGAP,Objective Function,Time
0.02122386021,4316542.428,0.155
0.02045411573,4311841.131,0.156
0.02023214362,4311231.979,0.156
0.02006910682,4310615.476,0.157
0.02005065911,4310524.462,0.157
0.02004484676,4310479.073,0.158
0.0200352171,4310457.938,0.158
0.02003413469,4310457.765,0.159
0.02003339064,4310457.681,0.159
0.02003320466,4310457.661,0.16
0.02003317088,4310457.656,0.16
0.02003317088,4310457.656,0.161
0.02005706352,4309665.347,0.161
0.01993567784,4309652.279,0.162
0.01990752749,4309651.295,0.162
0.01990153514,4309651.194,0.163
0.01989854214,4309651.17,0.163
0.01989704643,4309651.165,0.164
0.0198961043,4309651.164,0.164
0.01989588498,4309651.164,0.165
0.01989577532,4309651.164,0.166
0.01989576364,4309651.164,0.166
0.01989576364,4309651.164,0.167
0.01961423665,4304931.332,0.168
0.01955544263,4304915.74,0.168
0.01953210584,4304911.99,0.169
0.01952085827,4304911.067,0.169
0.01951192156,4304910.839,0.169
0.01950915078,4304910.786,0.17
0.0195077688,4304910.775,0.17
0.0195066579,4304910.773,0.171
0.01950638027,4304910.772,0.171
0.01950631087,4304910.772,0.172
0.01950631087,4304910.772,0.172
0.02174378859,4301405.11,0.173
0.02126418164,4301106.551,0.173
0.02143962958,4301033.33,0.174
0.02160071802,4301013.922,0.174
0.02163349377,4301007.295,0.175
0.02166510599,4301003.492,0.175
0.02168879826,4301002.604,0.176
0.02169689553,4301002.274,0.176
0.02170415863,4301002.177,0.176
0.02171109463,4301002.118,0.177
0.02171109463,4301002.118,0.177
0.02112540341,4291493.485,0.178
0.02102138674,4289537.181,0.178
0.02103959818,4287797.836,0.178
0.02107545381,4287005.821,0.179
0.02112083267,4286264.974,0.179
0.02114687052,4285913.633,0.18
0.02110209242,4285773.945,0.18
0.02107922705,4285773.322,0.18
0.02107352383,4285773.282,0.181
0.02107209862,4285773.279,0.181
0.02107209862,4285773.279,0.182
0.02040048507,4285527.009,0.182
0.02020030965,4285518.599,0.182
0.02008061882,4285514.475,0.183
0.02001533425,4285513.417,0.183
0.01999304299,4285513.132,0.184
0.01998194454,4285512.99,0.184
0.01997855326,4285512.972,0.184
0.01997609328,4285512.961,0.185
0.0199748598,4285512.959,0.185
0.01997370397,4285512.958,0.186
0.01997370397,4285512.958,0.186
0.01968521554,4285044.676,0.186
0.01976077059,4284886.558,0.187
0.0197450174,4284882.798,0.187
0.01976732429,4284881.945,0.188
0.01977094154,4284881.78,0.188
0.01976876346,4284881.746,0.188
0.01977043596,4284881.741,0.189
0.01977114045,4284881.74,0.189
0.0197710011,4284881.739,0.19
0.01977101751,4284881.739,0.19
0.01977101751,4284881.739,0.19
0.01806050929,4284041.255,0.191
0.01772075879,4283961.378,0.191
0.01763445926,4283947.039,0.192
0.01758829802,4283943.738,0.192
0.01756409595,4283942.936,0.192
0.01754705861,4283942.589,0.193
0.01754317098,4283942.544,0.193
0.01754068884,4283942.524,0.193
0.01753879998,4283942.516,0.194
0.01753768458,4283942.513,0.194
0.01753768458,4283942.513,0.195
0.01768352856,4283905.916,0.195
0.01769096787,4283902.019,0.195
0.01767382549,4283899.927,0.196
0.01766105202,4283898.412,0.196
0.017654077,4283897.864,0.197
0.01764823579,4283897.46,0.197
0.01764929226,4283897.455,0.198
0.01764956316,4283897.453,0.198
0.01764982763,4283897.453,0.198
0.01764999213,4283897.453,0.199
0.01764999213,4283897.453,0.199
0.01888118151,4280449.431,0.2
0.01942667057,4280190.884,0.2
0.01961069552,4280125.571,0.201
0.01986785899,4280103.916,0.201
0.01993425979,4280101.229,0.201
0.02000446498,4280099.985,0.202
0.02002878887,4280099.76,0.202
0.02004096459,4280099.715,0.203
0.02004454974,4280099.71,0.203
0.02004635135,4280099.708,0.204
0.02004635135,4280099.708,0.204
0.01771462185,4276290.985,0.204
0.01769876542,4276286.663,0.205
0.01770788491,4276286.269,0.205
0.0177107376,4276286.251,0.206
0.01771082946,4276286.251,0.206
0.01771087541,4276286.251,0.207
0.01771091119,4276286.251,0.207
0.01771093095,4276286.251,0.207
0.01771092664,4276286.251,0.208
0.01771092449,4276286.251,0.208
0.01771092449,4276286.251,0.208
0.01817573127,4275227.076,0.209
0.01831701017,4275194.691,0.209
0.01831093971,4275190.646,0.21
0.01827240745,4275187.779,0.21
0.01823663111,4275186.543,0.211
0.01821880863,4275186.177,0.211
0.01820991381,4275186.058,0.211
0.01820069165,4275185.98,0.212
0.018196062,4275185.957,0.213
0.0181935785,4275185.946,0.213
0.0181935785,4275185.946,0.214
0.01955155477,4268804.402,0.214
0.01901832187,4267572.356,0.214
0.01875245909,4266747.269,0.215
0.01883761917,4266330.267,0.215
0.01893590911,4266076.791,0.216
0.0189994241,4265614.759,0.216
0.01908483324,4265257.667,0.216
0.01918772318,4264974.002,0.217
0.01926662222,4264819.711,0.217
0.01926817831,4264816.718,0.218
0.01926817831,4264816.718,0.218
0.0176142142,4263915.171,0.218
0.01749002442,4263913.473,0.219
0.01748206793,4263913.453,0.219
0.01748007959,4263913.452,0.22
0.01747956728,4263913.452,0.22
0.01747943157,4263913.452,0.22
0.01747936754,4263913.452,0.221
0.01747933552,4263913.452,0.221
0.01747931999,4263913.452,0.222
0.01747931787,4263913.452,0.222
0.01747931787,4263913.452,0.222
0.0152151292,4262270.303,0.223
0.01517860868,4262255.561,0.223
0.01515778182,4262254.17,0.224
0.01515615083,4262254.106,0.224
0.01515500543,4262254.1,0.224
0.01515424643,4262254.1,0.225
0.01515422974,4262254.1,0.225
0.01515419879,4262254.1,0.226
0.01515419105,4262254.1,0.226
0.01515418885,4262254.1,0.226
0.01515418885,4262254.1,0.227
0.01194271136,4258317.888,0.227
0.01173540604,4257921.41,0.228
0.01180361572,4257894.167,0.228
0.01171585654,4257886.747,0.229
0.01167227243,4257884.258,0.229
0.01163250874,4257882.57,0.229
0.01161519913,4257881.862,0.23
0.01159542614,4257881.481,0.23
0.01158585566,4257881.357,0.231
0.01157629756,4257881.277,0.231
0.01157629756,4257881.277,0.232
